ilce,karakol_bolgesi,tahmini_mahalle_kapsami,suc_sayisi_2025_ilk9ay
Gaziosmanpasa,Sehit Anil Kaan Aybek PM,Karadeniz Mahallesi ve Çevresi,4066
Arnavutkoy,Yavuz Selim PM,Arnavutköy Merkez/Anadolu Mah.,3830
Buyukcekmece,Buyukcekmece PM,Dizdariye/19 Mayıs Mah.,3174
Zeytinburnu,Sehit Bulent Ustun PM,Sümer/Veliefendi Mah.,3075
Pendik,Camcesme Sehit Yuksel Taspinar PM,Çamçeşme/Kavakpınar Mah.,2871
Kucukcekmece,Halkali Sehit Ahmet Zehir PM,Halkalı/Atakent Mah.,2793
Esenyurt,Esenyurt PM,Merkez Mahalleler,2770
Gungoren,Gungoren PM,Sanayi/Merkez Mah.,1970
